id	year	state	county	spend	crime	ratio
2008::OR::WASHINGTON	2008	OR	Washington	138	821	0.168087698
2008::LA::JEFFERSON DAVIS	2008	LA	Jefferson Davis	1174.2	60	19.57
2009::PA::CRAWFORD	2009	PA	Crawford	120	13	9.230769231
2007::MI::MONROE	2007	MI	Monroe	4990	241	20.70539419
2011::KY::WARREN	2011	KY	Warren	1191.84	193	6.175336788
2012::CA::SAN MATEO	2012	CA	San Mateo	587.1	1413	0.415498938
2009::TN::HAMILTON	2009	TN	Hamilton 	966	270	3.577777778
2007::VA::PITTSYLVANIA	2007	VA	Pittsylvania 	499	55	9.072727273
2012::WA::THURSTON	2012	WA	Thurston	446157.37	381	1171.016719
2006::OH::MAHONING	2006	OH	Mahoning	18837.65	1164	16.18354811
2011::MI::SAINT CLAIR	2011	MI	St. Clair	5581.34	344	16.22482558
2010::IN::WARRICK	2010	IN	Warrick	138	92	1.5
2008::WA::CLALLAM	2008	WA	Clallam	276	67	4.119402985
2009::GA::LEE	2009	GA	Lee	126665	18	7036.944444
2008::IL::WASHINGTON	2008	IL	Washington	410.97	0	410.97
2012::IL::DEKALB	2012	IL	DeKalb	141142.1	209	675.3210526
2012::OH::MEDINA	2012	OH	Medina 	2058800.88	0	2058800.88
2006::TX::HAYS	2006	TX	Hays	2208	172	12.8372093
2010::MN::RAMSEY	2010	MN	Ramsey	2760	2112	1.306818182
2010::TN::SUMNER	2010	TN	Sumner 	139136.81	97	1434.400103
2012::AL::LAUDERDALE	2012	AL	Lauderdale	337820.69	165	2047.398121
2012::KY::FRANKLIN	2012	KY	Franklin	1371044.37	132	10386.69977
2012::FL::HIGHLANDS	2012	FL	Highlands	840	51	16.47058824
2006::IN::JEFFERSON	2006	IN	Jefferson	4406	24	183.5833333
2010::NY::CHENANGO	2010	NY	Chenango	25000	18	1388.888889
2011::OH::HURON	2011	OH	Huron	27390	0	27390
2012::AR::BOONE	2012	AR	Boone	13762.56	60	229.376
2007::CT::LITCHFIELD	2007	CT	Litchfield	552	234	2.358974359
2012::OH::PORTAGE	2012	OH	Portage	37586.93	97	387.4941237
2006::IL::WILLIAMSON	2006	IL	Williamson	5319	0	5319
2010::TX::TARRANT	2010	TX	Tarrant	58.71	7776	0.007550154
2008::TN::SHELBY	2008	TN	Shelby	1932	13753	0.140478441
2010::WI::BROWN	2010	WI	Brown	0	431	0
2012::OR::POLK	2012	OR	Polk	377227.75	29	13007.85345
2008::NE::DOUGLAS	2008	NE	Douglas	8918	2813	3.170280839
2009::SC::OCONEE	2009	SC	Oconee	15700.5	321	48.91121495
2007::TX::MONTGOMERY	2007	TX	Montgomery	828	1094	0.756855576
